id_acidente	id_veiculo	tipo_veiculo	placa	sexo_condutor	idade_condutor	categoria_habilitacao	usa_cinto_seguranca	estado_alcoolizacao	escolaridade
D011100109	02	MO	CJN2600	M	25	IN	X	BR	3
D011100110	01	MO	EJM2800	M	34	SI	X	BR	5
D011100111	01	OU	DTB1430	M	40	HA	X	BR	3
D011100111	02	AU	LCY1277	M	57	SI	X	BR	7
D011100112	01	AU	CLT6774	F	20	SI	X	BR	6
D011100113	01	AU	EVA0000	X	SI	SI	X	BR	8
D011100113	02	MO	CJG4782	M	40	HA	X	BR	2
D011100114	01	BI	SI     	M	21	NE	X	BR	6
D011100115	01	SI	EVA0000	X	SI	SI	X	BR	8
D011100115	02	MO	EQP6276	M	21	SI	X	BR	3
D011100116	01	MO	CZY7190	M	25	SI	X	BR	3
D011100116	02	AU	AOT0106	M	42	SI	X	BR	5
D011100117	01	MO	EJM9432	M	31	IN	X	BR	3
D011100117	02	AU	DZH0586	M	34	SI	X	BR	4
D011100118	01	MO	EQD9879	M	31	SI	X	BR	5
D011100118	02	AU	EFW8352	M	52	SI	X	BR	5
D011100118	03	MC	DJF7100	M	32	SI	X	BR	2
D011100120	01	ON	DBL0637	M	25	SI	X	BR	5
D011100120	02	OU	EFW1086	M	28	HA	X	BR	2
D011100121	01	MO	DJK9637	M	26	IN	X	BR	3
D011100121	02	MO	DZR1304	M	30	SI	X	BR	3
D011100121	03	AU	EMN2958	M	45	SI	X	BR	5
D011100122	01	AU	CVB7466	M	76	SI	X	BR	2
D011100122	02	BI	SI     	M	11	NE	X	BR	2
D011100123	01	MO	DUV6775	M	21	SI	X	BR	3
D011100123	02	AU	FMU2320	M	30	SI	X	BR	7
D011100124	01	MO	EQD0339	M	49	SI	X	BR	8
D011100124	02	MO	EBZ5910	M	SI	SI	X	BR	8
D011100124	03	AU	DYI4416	M	69	SI	X	BR	7
D011100125	01	CA	CRT0503	M	49	SI	X	BR	2
D011100125	02	AU	FCB2106	F	32	SI	X	BR	7
D011100125	03	AU	FMP2051	M	49	SI	X	BR	7
D011100125	04	CA	EMM1654	X	SI	SI	X	BR	8
D011100126	01	MO	DRX7941	M	27	SI	X	BR	5
D011100126	02	AU	DYE9423	F	49	SI	X	BR	7
D011100127	01	MO	DUY6594	M	23	IN	X	BR	5
D011100127	02	MO	EVA0000	X	SI	SI	X	BR	8
D011100128	01	AU	CYJ6509	M	22	SI	X	BR	5
D011100128	02	CA	BRA1565	M	45	SI	X	BR	5
D011100129	01	AU	DLM7514	F	23	SI	X	BR	5
D011100130	01	MO	DUX9105	M	22	SI	X	BR	5
D011100130	02	CA	FNT8210	X	SI	SI	X	BR	8
D011100131	01	MO	DGR2696	M	48	SI	X	BR	3
D011100131	02	AU	DYB7106	M	33	SI	X	BR	7
D011100132	01	CM	DAQ0240	M	51	SI	X	BR	2
D011100133	01	MO	DUW7317	M	31	SI	X	BR	3
D011100133	02	AU	SI     	F	44	SI	X	BR	7
D011100134	01	CA	BYG8927	M	31	SI	X	BR	8
D011100135	01	MO	DAA0709	F	22	SI	X	BR	5
D011100135	02	SI	SI     	F	SI	SI	X	BR	8
D011100136	01	MO	DYY8348	M	27	SI	X	BR	5
D011100137	01	MO	DGM5291	M	22	SI	X	BR	5
D011100138	01	CM	DQM6368	M	39	SI	X	BR	5
D011100138	02	OU	DTB4721	M	43	HA	X	BR	5
D011100139	01	MO	DOA4288	M	25	IN	X	BR	8
D011100139	02	AU	EQY6125	M	24	SI	X	BR	7
D011100140	01	MO	EQE5383	M	19	SI	X	BR	3
D011100140	02	AU	DUE4193	M	47	SI	X	BR	3
D011100141	01	MO	EKD0464	M	41	SI	X	BR	5
D011100142	01	MO	EIE8582	M	37	SI	X	BR	5
D011100142	02	AU	DOD1094	M	82	SI	X	BR	5
D011100143	01	AU	ELL0310	X	SI	SI	X	BR	8
D011100144	01	MO	EDJ5971	M	25	SI	X	BR	3
D011100145	01	MO	DGM5368	M	34	SI	X	BR	5
D011100145	02	AU	DCY1718	M	27	HA	X	BR	5
D011100146	01	AU	DGV0065	M	24	SI	X	BR	3
D011100147	01	AU	DSL2085	M	22	SI	X	BR	6
D011100148	01	MO	ETR2243	M	50	SI	X	BR	5
D011100148	02	CM	DXH8403	M	40	SI	X	BR	6
D011100148	03	CM	EVA0000	X	SI	SI	X	BR	8
D011100149	01	MO	EJR9317	M	49	SI	X	BR	3
D011100149	02	AU	EMQ0948	X	SI	SI	X	BR	8
D011100150	01	MO	EGY9769	M	26	IN	X	BR	4
D011100150	02	CM	EEF6348	M	37	SI	X	BR	7
D011100151	01	AU	EFU9755	M	69	SI	X	BR	3
D011100152	01	MC	GVK8154	M	31	SI	X	BR	5
D011100152	02	CM	DQV5700	M	29	SI	X	BR	8
D011100152	03	MO	CSK1520	M	23	IN	X	BR	5
D011100153	01	CA	CLJ5926	M	43	SI	X	BR	3
D011100153	02	CM	CYQ4275	M	33	SI	X	BR	7
D011100154	01	CM	CTM7267	M	28	SI	X	BR	7
D011100154	02	SI	EVA0000	X	SI	SI	X	BR	8
D011100155	01	MO	EQP3839	M	39	SI	X	BR	3
D011100156	01	MO	EQE8642	M	22	IN	X	BR	3
D011100156	02	CA	NCK3352	M	31	SI	X	BR	4
D011100157	01	AU	DJE8017	M	45	SI	X	BR	6
D011100157	02	AU	DJP3129	M	24	SI	X	BR	3
D011100158	01	MO	DRW3902	M	18	SI	X	BR	3
D011100158	02	CA	KOT8264	M	49	SI	X	BR	5
D011100159	01	AU	DLP0903	F	51	SI	X	BR	3
D011100159	02	AU	CSF0076	M	26	IN	X	SA	3
D011100160	01	CM	DOD7916	M	36	SI	X	BR	3
D011100160	02	AU	DZB1438	M	25	SI	X	BR	5
D011100161	01	AU	COS8626	F	43	SI	X	BR	3
D011100161	02	AU	EVA0000	X	SI	SI	X	BR	3
D011100162	01	AU	ALP3472	M	37	SI	X	BR	2
D011100163	01	MO	BWX4859	M	27	HA	X	BR	8
D011100163	02	CM	AMX6741	M	38	HA	X	BR	3
D011100164	01	AU	CLR7292	M	43	SI	X	BR	3
D011100165	01	CM	CVA4781	M	21	SI	X	BR	3
D011100165	02	AU	DRI8270	M	26	SI	X	BR	3
D011100166	01	MO	BYT8358	M	31	SI	X	BR	2
D011100166	02	CM	GTI9598	M	65	SI	X	BR	7
D011100167	01	SI	EVA0000	X	SI	SI	X	BR	8
D011100167	02	AU	EBC1860	M	42	SI	X	BR	3
D011100168	01	OU	DTE6422	M	50	HA	X	BR	3
D011100169	01	BI	SI     	M	18	NE	X	BR	5
D011100170	01	AU	EMN2384	M	33	SI	X	BR	5
D011100170	02	AU	DXW3019	M	39	SI	X	BR	7
D011100172	01	SI	EVA0000	X	SI	SI	X	BR	8
D011100173	01	MO	DYR5686	M	37	SI	X	BR	5
D011100173	02	AU	DLU0528	M	20	SI	X	BR	5
D011100174	01	BI	SI     	X	SI	NE	X	BR	8
D011100175	01	OU	DTB4995	M	39	HA	X	BR	5
D011100176	01	AU	DPR3048	M	26	SI	X	BR	5
D011100177	01	AU	DJB8433	M	68	SI	X	BR	2
D011100177	02	AU	CST5437	X	SI	SI	X	BR	8
