MAPINFO_ID	ID_VEICULO	ID_ACIDENT	TIPO_VEICU	SEXO_CONDU	IDADE_COND	CATEGORIA_	USA_CINTO_	EST_ALCOOL	ESCOLARIDA
2581	02	D011500448	MO	F	27	SI	X	BR	5
2582	01	D011500580	ON	M	48	SI	X	BR	8
2583	01	D011500779	AU	M	41	SI	X	BR	3
2584	02	D011500779	MO	M	21	SI	X	BR	3
2585	01	D011500998	MO	M	42	SI	X	BR	5
2586	02	D011500998	AU	M	47	SI	X	BR	3
2587	01	D011501049	OU	M	28	SI	X	BR	5
2588	02	D011501049	CM	M	33	SI	X	BR	5
2589	01	D011501276	SI	X	SI	SI	X	BR	8
2590	01	D011501319	MO	M	19	SI	X	BR	5
2591	01	D011501365	AU	X	SI	SI	X	BR	8
2592	02	D011501365	AU	M	49	SI	X	BR	7
2593	01	D011501394	MO	M	18	SI	X	BR	3
2594	01	D011501413	MO	M	17	IN	X	BR	8
2595	01	D011501426	MO	M	21	SI	X	BR	5
2596	01	D011501453	SI	X	SI	SI	X	BR	8
2597	01	D011501462	MO	M	28	SI	X	BR	5
2598	01	D011501495	MO	M	22	SI	X	BR	5
2599	01	D011501500	MO	M	18	SI	X	BR	8
2600	02	D011501500	AU	M	39	SI	X	BR	2
2601	01	D011501582	MO	X	SI	SI	X	BR	8
2602	01	D011501596	BI	M	11	NE	X	BR	3
2603	01	D011501607	MO	M	30	SI	X	BR	5
2604	02	D011501607	MO	M	34	SI	X	BR	5
2605	03	D011501607	MO	M	24	SI	X	BR	5
2606	04	D011501607	AU	F	52	SI	X	BR	5
2607	01	D011501627	AU	X	SI	SI	X	BR	8
2608	01	D011501240	MO	M	23	SI	X	BR	3
2609	02	D011501240	CA	X	SI	SI	X	BR	8
2610	01	D011501260	AU	M	23	SI	X	BR	3
2611	02	D011501260	AU	M	28	SI	X	BR	5
2612	01	D011501264	AU	M	37	SI	X	BR	7
2613	02	D011501264	MO	M	28	SI	X	BR	5
2614	01	D011501325	CM	M	45	SI	X	BR	8
2615	01	D011500596	MO	M	19	SI	X	BR	3
2616	02	D011500596	AU	F	27	SI	X	BR	5
2617	01	D011501634	MO	M	39	SI	X	BR	2
2618	02	D011501634	ON	M	58	SI	X	BR	3
2619	01	D011501635	AU	M	23	SI	X	BR	8
2620	01	D011501636	MO	X	SI	SI	X	BR	8
2621	01	D011501637	SI	X	SI	SI	X	BR	8
2622	01	D011500062	AU	X	SI	SI	X	BR	8
2623	02	D011500062	CM	M	29	SI	X	BR	5
2624	03	D011500062	MO	M	29	SI	X	BR	5
2625	01	D011500965	MO	M	42	SI	X	BR	3
2626	01	D011501081	MO	M	40	SI	X	BR	5
2627	01	D011501166	AU	X	SI	SI	X	BR	8
2628	02	D011501166	MO	F	22	SI	X	BR	5
2629	01	D011501192	MO	M	22	SI	X	BR	5
2630	01	D021500002	OU	M	SI	SI	X	BR	8
2631	01	D021500003	AU	X	SI	SI	X	BR	8
2632	02	D021500003	MO	M	43	SI	X	BR	2
2633	01	D021500004	AU	M	56	SI	X	BR	7
2634	01	D021500005	CM	M	38	SI	X	BR	3
2635	01	D021500006	AU	M	35	SI	X	BR	7
2636	01	D021500007	AU	X	SI	SI	X	BR	8
2637	01	D021500008	CM	M	46	SI	X	BR	5
2638	02	D021500008	MO	M	66	SI	X	BR	3
2639	01	D021500009	MO	M	22	SI	X	BR	5
2640	01	D021500010	CM	M	42	SI	X	BR	7
2641	02	D021500010	MO	M	51	SI	X	BR	5
2642	01	D021500011	MO	M	27	SI	X	BR	3
2643	01	D021500012	AU	F	68	SI	X	BR	7
2644	02	D021500012	MO	M	SI	SI	X	BR	8
2645	01	D021500013	CM	M	SI	SI	X	BR	8
2646	02	D021500013	OU	M	39	SI	X	BR	3
2647	01	D021500014	AU	M	22	SI	X	BR	8
2648	01	D021500015	AU	M	25	SI	X	BR	6
2649	01	D021500016	AU	M	48	SI	X	BR	3
2650	01	D021500017	OU	M	46	SI	X	BR	5
2651	01	D021500018	CA	X	SI	SI	X	BR	8
2652	02	D021500018	AU	M	63	SI	X	BR	3
2653	01	D021500019	AU	M	59	SI	X	BR	3
2654	02	D021500019	MO	M	38	SI	X	BR	7
2655	01	D021500020	AU	M	32	SI	X	BR	8
2656	02	D021500020	MO	M	39	SI	X	BR	3
2657	01	D021500021	AU	F	30	SI	X	BR	8
2658	02	D021500021	MO	M	41	SI	X	BR	8
2659	01	D021500022	CM	F	29	SI	X	BR	3
2660	02	D021500022	AU	M	46	SI	X	BR	7
2661	01	D021500023	CA	M	SI	SI	X	BR	8
2662	02	D021500023	AU	M	43	SI	X	BR	6
2663	01	D021500024	CM	M	36	SI	X	BR	5
2664	01	D021500025	AU	M	SI	SI	X	BR	8
2665	01	D021500026	AU	M	55	SI	X	BR	3
2666	01	D021500028	CM	F	44	SI	X	BR	5
2667	02	D021500028	AU	M	23	SI	X	BR	8
2668	01	D021500029	AU	M	58	SI	X	BR	7
2669	02	D021500029	CM	M	38	SI	X	BR	3
2670	01	D021500030	MO	M	SI	SI	X	BR	8
2671	02	D021500030	MO	F	21	SI	X	BR	6
2672	01	D021500032	MO	M	SI	SI	X	BR	8
2673	02	D021500032	AU	M	19	SI	X	BR	6
2674	01	D021500033	AU	F	29	SI	X	BR	8
2675	02	D021500033	AU	F	23	SI	X	BR	7
2676	01	D021500034	MO	M	20	SI	X	BR	5
2677	02	D021500034	MO	M	24	SI	X	BR	5
2678	01	D021500035	MO	M	40	SI	X	BR	5
2679	02	D021500035	AU	M	44	SI	X	BR	8
2680	01	D021500036	MO	M	36	SI	X	BR	5
2681	02	D021500036	AU	X	SI	SI	X	BR	8
2682	01	D021500037	AU	M	62	SI	X	BR	2
2683	02	D021500037	AU	F	59	SI	X	BR	7
2684	01	D021500038	AU	F	38	SI	X	BR	8
2685	02	D021500038	CA	M	63	SI	X	BR	3
2686	01	D021500040	MO	M	23	SI	X	BR	3
2687	01	D021500041	MO	M	27	SI	X	BR	5
2688	02	D021500041	AU	M	32	SI	X	BR	7
2689	03	D021500041	AU	M	63	SI	X	BR	3
2690	01	D021500042	BI	M	32	NE	X	BR	3
2691	02	D021500042	ON	M	44	SI	X	BR	5
2692	03	D021500042	AU	F	41	SI	X	BR	7
2693	01	D021500043	MO	M	50	SI	X	BR	3
2694	02	D021500043	AU	F	51	SI	X	BR	7
2695	03	D021500043	AU	M	63	SI	X	BR	2
2696	01	D021500044	AU	M	38	SI	X	BR	5
2697	02	D021500044	AU	X	SI	SI	X	BR	8
2698	01	D021500045	CA	X	SI	SI	X	BR	8
2699	02	D021500045	MO	M	31	SI	X	BR	3
2700	01	D021500046	MO	M	28	SI	X	BR	5
2701	01	D021500047	SI	X	SI	SI	X	BR	8
2702	01	D021500048	AU	M	26	SI	X	BR	5
2703	01	D021500049	MO	M	38	SI	X	BR	3
2704	01	D021500050	AU	F	44	SI	X	BR	7
2705	02	D021500050	AU	M	81	SI	X	BR	5
2706	01	D021500051	AU	M	51	SI	X	BR	3
2707	02	D021500051	MO	M	21	SI	X	BR	3
2708	01	D021500052	AU	M	65	SI	X	BR	8
2709	02	D021500052	MO	M	42	SI	X	BR	8
2710	01	D021500053	CM	M	21	SI	X	BR	5
2711	01	D021500054	AU	M	27	SI	X	BR	5
2712	02	D021500054	BI	M	24	NE	X	BR	3
2713	01	D021500055	AU	M	24	SI	X	BR	5
2714	01	D021500056	MO	M	28	SI	X	BR	6
2715	01	D021500057	AU	M	45	SI	X	BR	7
2716	02	D021500057	OU	M	62	SI	X	BR	3
2717	01	D021500058	AU	M	73	SI	X	BR	5
2718	02	D021500058	BI	M	11	NE	X	BR	2
2719	01	D021500059	CM	M	SI	SI	X	BR	8
2720	01	D021500060	AU	X	SI	SI	X	BR	8
2721	01	D021500061	OU	M	36	SI	X	BR	5
2722	01	D021500062	AU	M	21	SI	X	BR	6
2723	01	D021500063	MO	M	19	SI	X	BR	3
2724	01	D021500064	AU	X	SI	SI	X	BR	8
2725	02	D021500064	MO	M	37	SI	X	BR	5
2726	01	D021500065	AU	M	28	SI	X	BR	6
2727	01	D021500066	MO	M	31	SI	X	BR	5
2728	02	D021500066	OU	M	39	SI	X	BR	5
2729	01	D021500067	MO	M	31	SI	X	BR	7
2730	01	D021500069	MO	M	31	SI	X	BR	3
2731	02	D021500069	AU	M	36	SI	X	BR	5
2732	01	D021500070	MO	M	26	SI	X	BR	8
2733	01	D021500071	AU	M	SI	SI	X	BR	8
2734	02	D021500071	OU	M	38	SI	X	BR	3
2735	01	D021500072	MO	M	31	SI	X	BR	3
2736	02	D021500072	AU	M	42	SI	X	BR	8
2737	01	D021500073	OU	M	40	SI	X	BR	5
2738	01	D021500074	MO	F	31	SI	X	BR	5
2739	02	D021500074	MC	M	35	SI	X	BR	3
2740	01	D021500075	OU	M	45	SI	X	BR	3
2741	01	D021500076	CM	M	19	SI	X	BR	5
2742	02	D021500076	AU	F	58	SI	X	BR	7
2743	03	D021500076	AU	F	43	SI	X	BR	7
2744	01	D021500077	AU	F	49	SI	X	BR	7
2745	01	D021500078	MO	M	20	SI	X	BR	5
2746	02	D021500078	AU	M	72	SI	X	BR	5
2747	01	D021500079	MO	M	SI	SI	X	BR	8
2748	02	D021500079	AU	F	32	SI	X	BR	7
2749	01	D021500080	AU	M	49	SI	X	BR	7
2750	01	D021500081	MO	M	52	SI	X	BR	5
2751	02	D021500081	AU	M	30	SI	X	BR	3
2752	01	D021500082	MO	M	25	SI	X	BR	3
2753	02	D021500082	CM	F	40	SI	X	BR	7
2754	01	D021500083	MO	M	25	SI	X	BR	2
2755	01	D021500084	MO	M	29	SI	X	BR	3
2756	02	D021500084	AU	M	44	SI	X	BR	3
2757	01	D021500085	MO	F	39	SI	X	BR	7
2758	01	D021500086	SI	X	SI	SI	X	BR	8
2759	01	D021500087	AU	M	25	SI	X	BR	3
2760	02	D021500087	AU	M	48	SI	X	BR	5
2761	01	D021500088	MO	M	SI	SI	X	BR	8
2762	01	D021500089	MO	M	36	SI	X	BR	5
2763	02	D021500089	AU	M	62	SI	X	BR	7
2764	01	D021500090	CM	F	36	SI	X	BR	7
2765	02	D021500090	AU	M	SI	SI	X	BR	8
2766	03	D021500090	AU	M	SI	SI	X	BR	8
2767	04	D021500090	CM	M	SI	SI	X	BR	8
2768	01	D021500092	AU	F	SI	SI	X	BR	8
2769	02	D021500092	MO	M	31	SI	X	BR	5
2770	01	D021500093	MO	M	51	SI	X	BR	7
2771	02	D021500093	AU	F	66	SI	X	BR	7
2772	01	D021500095	AU	M	61	SI	X	BR	5
2773	02	D021500095	CM	M	25	SI	X	BR	5
2774	03	D021500095	MO	M	34	SI	X	BR	5
2775	01	D021500096	AU	M	57	SI	X	BR	5
2776	02	D021500096	MO	M	SI	SI	X	BR	8
2777	01	D021500097	CM	M	41	SI	X	BR	3
2778	02	D021500097	MO	M	33	SI	X	BR	5
2779	01	D021500098	MO	X	SI	SI	X	BR	8
2780	01	D021500100	MO	M	26	SI	X	BR	3
2781	02	D021500100	AU	M	35	SI	X	BR	7
2782	01	D021500101	MO	X	SI	SI	X	BR	8
2783	01	D021500102	MO	M	22	SI	X	BR	3
2784	01	D021500104	MO	M	24	SI	X	BR	3
2785	02	D021500104	AU	M	75	SI	X	BR	8
2786	01	D021500103	CM	M	49	SI	X	BR	7
2787	02	D021500103	MO	M	27	SI	X	BR	3
2788	01	D021500105	AU	M	54	SI	X	BR	5
2789	02	D021500105	AU	M	29	SI	X	BR	8
2790	01	D021500106	AU	M	48	SI	X	BR	5
2791	02	D021500106	MO	M	29	SI	X	BR	6
2792	01	D021500107	CA	M	42	SI	X	BR	5
2793	01	D021500108	CA	M	57	SI	X	BR	5
2794	02	D021500108	BI	X	SI	NE	X	BR	8
2795	01	D021500109	SI	X	SI	SI	X	BR	8
2796	01	D021500110	CA	M	50	SI	X	BR	3
2797	01	D021500111	MO	M	SI	SI	X	BR	8
2798	02	D021500111	AU	M	52	SI	X	BR	7
2799	01	D021500112	ON	M	41	SI	X	BR	5
2800	01	D021500113	MO	M	31	SI	X	BR	5
2801	02	D021500113	AU	M	21	SI	X	BR	5
2802	01	D021500114	AU	F	31	SI	X	BR	5
2803	01	D021500115	MO	M	32	SI	X	BR	7
2804	02	D021500115	AU	M	54	SI	X	BR	7
2805	01	D021500116	MO	M	32	SI	X	BR	5
2806	01	D021500117	MO	M	33	SI	X	BR	3
2807	02	D021500117	AU	M	49	SI	X	BR	7
2808	01	D021500118	CM	M	37	SI	X	BR	8
2809	01	D021500119	CM	M	50	SI	X	BR	5
2810	02	D021500119	AU	M	23	SI	X	BR	5
2811	01	D021500120	AU	M	SI	SI	X	BR	8
2812	02	D021500120	CA	M	48	SI	X	BR	5
2813	01	D021500121	MO	M	27	SI	X	BR	3
2814	02	D021500121	AU	M	43	SI	X	BR	7
2815	01	D021500122	MO	M	46	SI	X	BR	8
2816	02	D021500122	AU	F	67	SI	X	BR	7
2817	01	D021500124	MO	M	20	SI	X	BR	6
2818	02	D021500124	AU	M	39	SI	X	BR	3
2819	01	D021500125	MO	M	27	SI	X	BR	3
2820	01	D021500126	AU	F	50	SI	X	BR	8
2821	01	D021500127	CM	F	41	SI	X	BR	5
2822	01	D021500128	MO	M	33	SI	X	BR	5
2823	02	D021500128	CA	M	SI	SI	X	BR	8
2824	01	D021500129	AU	M	25	SI	X	BR	7
2825	02	D021500129	AU	M	22	SI	X	BR	7
2826	01	D021500130	AU	M	53	SI	X	BR	7
2827	02	D021500130	MO	M	34	SI	X	BR	5
2828	01	D021500131	OU	M	40	SI	X	BR	3
2829	01	D021500132	OU	M	38	SI	X	BR	8
2830	01	D021500133	CA	M	43	SI	X	BR	3
2831	02	D021500133	CA	M	28	SI	X	BR	5
2832	01	D021500134	ON	X	SI	SI	X	BR	8
2833	01	D021500135	OU	M	39	SI	X	BR	3
2834	02	D021500135	AU	X	SI	SI	X	BR	8
2835	01	D021500136	AU	X	SI	SI	X	BR	8
2836	02	D021500136	AU	M	29	SI	X	BR	5
