ID_VEICULO,ID_ACIDENT,TIPO_VEICU,PLACA,SEXO_CONDU,IDADE_COND,CATEGORIA_,USA_CINTO_,ESTADO_ALC,ESCOLARIDA,cod_acid,tipo_acidente
1,D031700314,AU,FFN0480,M,38,HA,X,BR,5,2,CO
1,D031700315,AU,,X,SI,SI,X,BR,8,4,AT
1,D031700316,MO,FAP4889,M,41,SI,X,BR,7,2,CO
2,D031700316,AU,,X,SI,SI,X,BR,8,2,CO
1,D031700317,MO,FTB8138,M,24,SI,X,BR,5,2,CO
2,D031700317,AU,OWH9597,M,33,SI,X,BR,8,2,CO
2,D031700318,AU,FVY8162,F,52,SI,X,BR,7,2,CO
1,D031700318,MO,DSV7508,M,34,SI,X,BR,5,2,CO
1,D031700319,AU,CJJ1591,M,19,SI,X,BR,3,2,CH
1,D031700320,SI,,X,SI,SI,X,BR,8,4,AT
1,D031700321,MO,,F,SI,SI,X,BR,8,4,AT
1,D031700322,MO,,M,22,SI,X,BR,2,2,QM
1,D031700323,MO,DEP0570,M,31,HA,X,BR,5,4,AT
1,D031700324,MO,GJG2409,M,30,SI,X,BR,7,4,AT
1,D031700325,AU,CPR5575,F,25,SI,X,BR,5,2,CO
2,D031700325,AU,EBX8460,M,66,SI,X,BR,5,2,CO
2,D031700326,AU,ELS5254,M,18,SI,X,BR,5,2,CO
1,D031700326,MO,EJQ5112,M,SI,SI,X,BR,8,2,CO
1,D031700327,ON,,M,SI,SI,X,BR,8,2,QD
2,D031700328,AU,DGE9951,M,54,SI,X,BR,5,2,CT
1,D031700328,MO,EOT2576,M,22,SI,X,BR,5,2,CT
1,D031700329,AU,DUH7803,M,23,IN,X,BR,5,4,AT
1,D031700330,MO,GXN2486,M,31,IN,X,BR,4,2,CL
2,D031700330,ON,DTA3933,M,36,SI,X,BR,5,2,CL
1,D031700331,MC,,X,SI,SI,X,BR,8,2,QF
1,D031700332,AU,EBH8443,F,29,SI,X,BR,7,2,CO
2,D031700332,AU,DEJ4091,M,41,SI,X,BR,8,2,CO
2,D031700333,MO,,M,51,SI,X,BR,8,2,CV
1,D031700333,AU,AYP6339,F,22,SI,X,BR,8,2,CV
2,D031700334,AU,EBM8941,M,37,SI,X,BR,5,2,CL
1,D031700334,MO,DZQ3416,M,35,SI,X,BR,5,2,CL
1,D031700335,ON,CZZ3239,M,33,SI,X,BR,5,4,AT
1,D031700336,SI,HRZ3616,X,SI,SI,X,BR,8,4,AT
1,D031700337,AU,DHW4502,M,46,SI,X,BR,8,2,CO
2,D031700337,CM,PVS3015,M,39,SI,X,BR,8,2,CO
1,D031700338,AU,FDG5494,M,SI,SI,X,BR,8,4,AT
1,D031700339,MO,DXO2509,M,24,SI,X,BR,6,2,CO
2,D031700339,CA,ELB8343,M,43,SI,X,BR,7,2,CO
1,D031700340,AU,EVV3698,M,41,SI,X,BR,2,2,CT
2,D031700340,AU,CBH7341,F,35,SI,X,BR,5,2,CT
2,D031700341,AU,MYY5154,M,30,SI,X,BR,5,2,CO
1,D031700341,MO,DYY3790,M,51,SI,X,BR,5,2,CO
1,D031700342,ON,ELQ8519,M,34,SI,X,BR,3,4,AT
1,D031700343,AU,EUS3380,F,44,HA,X,BR,8,2,CL
2,D031700343,AU,EZA4968,F,31,HA,X,BR,8,2,CL
1,D031700344,AU,EZD5005,M,SI,SI,X,BR,8,2,CL
2,D031700344,MO,DKK7512,M,27,SI,X,BR,5,2,CL
3,D031700344,AU,FBT2526,M,36,SI,X,BR,7,2,CL
2,D031700345,AU,,X,SI,SI,X,BR,8,2,CO
1,D031700345,MO,DOU6999,M,34,SI,X,BR,5,2,CO
2,D031700346,MO,,M,23,SI,X,BR,5,2,CO
1,D031700346,AU,PZC8004,M,31,SI,X,BR,8,2,CO
1,D031700347,CM,GFZ7523,M,53,SI,X,BR,7,2,TB
1,D031700348,MO,FXW9640,M,28,IN,X,BR,8,2,CL
2,D031700348,AU,FEK4190,M,39,SI,X,BR,8,2,CL
1,D031700349,AU,FTX7559,M,60,SI,X,BR,5,2,CO
2,D031700349,BI,,M,20,NE,X,BR,8,2,CO
1,D031700350,CM,EFU9881,M,53,SI,X,BR,7,2,CO
2,D031700350,BI,,M,18,NE,X,BR,3,2,CO
1,D031700351,MO,GJC4749,M,27,SI,X,BR,5,2,CL
2,D031700351,CM,EUB9973,M,31,SI,X,BR,5,2,CL
2,D031700352,AU,GHA4148,F,42,SI,X,BR,7,2,CO
1,D031700352,MO,DBR8662,M,19,SI,X,BR,2,2,CO
1,D031700353,OU,,X,SI,SI,X,BR,8,2,QD
1,D031700354,MO,DUV6602,M,24,SI,X,BR,8,2,SI
2,D031700354,AU,FEH1994,M,43,SI,X,BR,8,2,SI
1,D031700355,CM,JBG2408,M,21,SI,X,BR,7,2,CO
2,D031700355,BI,SI,M,27,NE,X,BR,7,2,CO
3,D031700355,CM,BGY5589,M,43,SI,X,BR,5,2,CO
2,D031700356,AU,DUF1947,M,47,SI,X,BR,7,2,CT
1,D031700356,AU,FKJ6776,M,SI,SI,X,BR,8,2,CT
2,D031700357,AU,EMO8473,M,61,SI,X,BR,5,2,CO
1,D031700357,MO,EOL0488,M,36,SI,X,BR,8,2,CO
1,D031700358,MO,EFH7676,M,39,SI,X,BR,5,2,CO
2,D031700358,AU,ERX3748,F,22,SI,X,BR,5,2,CO
1,D031700359,MO,BYL5101,M,28,SI,X,BR,5,2,QM
1,D031700360,MO,DZT4626,M,31,SI,X,BR,3,2,CO
2,D031700360,AU,DFY5268,M,36,SI,X,BR,5,2,CO
1,D031700361,MO,EXK9558,M,28,SI,X,BR,3,2,QM
2,D031700362,ON,ELQ0566,M,57,HA,X,BR,3,2,CF
1,D031700362,AU,CMN0750,M,22,IN,X,AA,5,2,CF
1,D031700363,BI,,M,53,NE,X,BR,3,2,CH
2,D031700364,AU,HDJ0320,M,SI,SI,X,BR,8,2,CO
1,D031700364,MO,FVM1785,M,22,IN,X,BR,3,2,CO
1,D031700365,MO,FPG5645,M,32,SI,X,BR,5,2,CO
2,D031700365,AU,,X,SI,SI,X,BR,8,2,CO
1,D031700366,MO,ESV1301,M,27,HA,X,BR,5,2,CO
2,D031700366,AU,ERE9009,M,58,HA,X,BR,3,2,CO
1,D031700367,MO,DRX9923,M,30,SI,X,BR,3,2,CO
2,D031700367,AU,CZZ7932,M,23,SI,X,BR,5,2,CO
2,D031700368,AU,DLU8393,M,49,SI,X,BR,5,2,CO
1,D031700368,MO,FKL3338,M,33,SI,X,BR,5,2,CO
1,D031700369,ON,GER0511,M,SI,SI,X,BR,8,2,QD
1,D031700370,MO,DRX8009,M,28,SI,X,BR,8,2,CO
2,D031700370,AU,FXU7048,F,78,SI,X,BR,3,2,CO
1,D031700371,CM,FKH5178,X,SI,SI,X,BR,8,4,AT
1,D031700372,MO,FRO9107,M,33,SI,X,BR,3,2,CO
2,D031700372,AU,FKA8546,F,45,SI,X,BR,7,2,CO
1,D031700373,MO,FQF8429,M,23,HA,X,BR,3,2,QM
2,D031700373,AU,DZE9019,M,41,SI,X,BR,5,2,QM
2,D031700374,CM,EMH9180,M,47,SI,X,BR,3,2,CT
1,D031700374,AU,FGD3988,M,35,SI,X,BR,8,2,CT
1,D031700375,MO,FJQ1440,M,57,SI,X,BR,7,2,CO
2,D031700375,AU,FND1592,M,59,SI,X,BR,7,2,CO
1,D031700376,ON,ELW8518,M,68,SI,X,BR,3,2,CO
2,D031700376,CM,DSA7714,M,69,SI,X,BR,3,2,CO
1,D031700377,AU,GHY4471,M,48,SI,X,BR,3,4,AT
1,D031700378,MO,EJP6844,M,25,SI,X,BR,5,2,CT
2,D031700378,CM,EKO6301,F,36,SI,X,BR,8,2,CT
1,D031700379,MO,FAF0629,M,23,SI,X,BR,5,2,CO
2,D031700379,AU,DVC2965,M,39,SI,X,BR,3,2,CO
2,D031700380,AU,BND7779,M,45,SI,X,BR,3,2,CL
1,D031700380,AU,EJE6246,M,47,SI,X,BR,5,2,CL
2,D031700381,AU,EMU9759,M,47,SI,X,BR,3,2,CO
1,D031700381,MO,FAV5801,M,27,SI,X,BR,3,2,CO
1,D031700382,AU,EZB0488,M,23,SI,X,BR,5,2,CO
2,D031700382,AU,DBK8374,M,26,SI,X,BR,5,2,CO
1,D031700383,MO,FRI6419,F,43,SI,X,BR,5,2,SI
2,D031700383,AU,HCV1223,M,31,SI,X,BR,7,2,SI
1,D031700384,MO,EHT1257,M,36,SI,X,BR,8,2,CO
2,D031700384,AU,PYN5159,M,56,SI,X,BR,7,2,CO
1,D031700385,AU,FLV9955,M,26,SI,X,BR,3,4,AT
1,D031700386,MO,EXG4064,M,30,SI,X,BR,7,2,CO
2,D031700386,AU,CJU6761,M,19,SI,X,BR,5,2,CO
1,D031700387,MO,DEP0849,M,21,SI,X,BR,5,2,QM
1,D031700388,CA,CPG3841,M,59,SI,X,BR,3,4,AT
1,D031700389,AU,ETC2627,X,SI,SI,X,BR,8,2,CO
2,D031700389,BI,,F,36,NE,X,BR,7,2,CO
1,D031700390,AU,FAL4514,M,22,HA,X,BR,5,4,AT
1,D031700391,MO,BYL9853,M,29,IN,X,BR,5,2,SI
2,D031700391,MO,DZQ9246,M,34,HA,X,BR,6,2,SI
1,D031700392,AU,FRX5624,F,29,SI,X,BR,7,2,CO
2,D031700392,AU,FRK8801,F,SI,SI,X,BR,8,2,CO
1,D031700393,MO,,M,26,SI,X,BR,8,2,QM
2,D031700394,AU,,X,SI,SI,X,BR,8,2,CO
1,D031700394,MO,ECP0158,F,28,SI,X,BR,5,2,CO
1,D031700395,MC,,X,SI,SI,X,BR,8,4,AT
1,D031700396,AU,,M,SI,SI,X,BR,8,4,AT
1,D031700397,MO,DOX4970,X,SI,SI,X,BR,8,2,SI
2,D031700397,CM,FVV8837,F,54,SI,X,BR,7,2,SI
1,D031700398,AU,FUN2662,F,76,SI,X,BR,5,2,SI
1,D031700399,CM,FNY1907,F,54,SI,X,BR,8,2,CO
2,D031700399,MO,FEJ2322,M,25,SI,X,BR,5,2,CO
1,D031700400,AU,FOV6662,M,SI,SI,X,BR,8,2,CO
2,D031700400,MO,,M,42,SI,X,BR,5,2,CO
1,D031700401,CA,,M,SI,SI,X,BR,8,4,AT
1,D031700402,MO,EOP1177,M,25,SI,X,BR,8,2,CO
2,D031700402,MO,EJN2350,M,SI,SI,X,BR,8,2,CO
1,D031700403,ON,FCB0416,M,33,SI,X,BR,5,4,AT
1,D031700404,MO,DFA3346,M,24,IN,X,BR,3,2,CF
2,D031700404,AU,DJM4647,M,31,SI,X,BR,5,2,CF
1,D031700405,MO,DSV7483,M,33,SI,X,BR,5,2,CO
2,D031700405,AU,GRR8048,M,27,SI,X,BR,5,2,CO
1,D031700406,MO,FRX9627,M,49,SI,X,BR,5,2,QM
1,D031700407,MO,,M,SI,SI,X,BR,8,2,CO
3,D031700407,CM,EFW5107,M,44,SI,X,BR,4,2,CO
2,D031700407,AU,,X,SI,SI,X,BR,8,2,CO
1,D031700408,MO,CSG0564,M,22,IN,X,BR,5,2,CO
2,D031700408,AU,DAE7684,M,43,SI,X,BR,5,2,CO
1,D031700409,AU,FRR2426,X,SI,SI,X,BR,8,2,OU
2,D031700409,AU,DBJ2322,M,44,SI,X,BR,5,2,OU
1,D031700410,AU,FTV6375,M,29,SI,X,BR,5,4,AT
1,D031700411,AU,DLG4732,M,41,SI,X,BR,5,4,AT
1,D031700412,MO,EJQ5413,M,31,SI,X,BR,3,2,CO
2,D031700412,AU,DOS3711,M,29,SI,X,BR,5,2,CO
1,D031700413,ON,GEL2540,M,31,SI,X,BR,3,2,QF
1,D031700414,AU,EML7584,F,SI,SI,X,BR,8,2,CO
2,D031700414,BI,,M,66,NE,X,BR,3,2,CO
1,D031700415,AU,GDD1555,M,54,SI,X,BR,7,4,AT
1,D031700416,MO,DPI6199,M,17,IN,X,BR,3,2,CH
1,D031700417,MO,EJQ2368,X,SI,SI,X,BR,8,4,AT
1,D031700418,MO,ESR3154,M,21,SI,X,BR,8,2,CL
2,D031700418,AU,MLZ5615,M,66,SI,X,BR,5,2,CL
1,D031700419,SI,,X,SI,SI,X,BR,8,4,AT
1,D031700420,AU,PWB4688,X,SI,SI,X,BR,8,2,CO
2,D031700420,BI,,F,24,NE,X,BR,3,2,CO
1,D031700421,MO,EHS0397,M,21,SI,X,BR,5,2,CO
2,D031700421,AU,ELH9047,M,67,SI,X,BR,5,2,CO
1,D031700422,AU,EYB5177,X,SI,SI,X,BR,8,2,CH
2,D031700422,AU,ABZ8092,M,47,SI,X,BR,3,2,CH
1,D031700423,AU,AIP9052,M,66,SI,X,AA,2,2,CH
1,D031700424,MO,EJO4392,M,65,SI,X,BR,3,2,CO
2,D031700424,AU,EPJ4315,M,31,SI,X,BR,3,2,CO
1,D031700425,MO,DYW4782,M,23,IN,X,BR,3,2,CO
2,D031700425,CM,DJL5679,M,29,SI,X,BR,5,2,CO
1,D031700426,MO,EQP8523,F,22,SI,X,BR,5,2,QM
1,D031700427,MO,DJX1871,M,SI,SI,X,BR,8,2,SI
2,D031700427,AU,BMI5008,M,38,SI,X,BR,3,2,SI
2,D031700428,AU,FFA7301,M,56,SI,X,BR,7,2,CO
1,D031700428,MO,FBR0752,M,36,SI,X,BR,8,2,CO
1,D031700429,MO,DCI4819,M,42,SI,X,BR,3,2,CO
2,D031700429,AU,FBA4016,M,39,SI,X,BR,8,2,CO
1,D031700430,MO,DZR4386,M,SI,SI,X,BR,8,2,CO
2,D031700430,CM,GCN4584,M,24,SI,X,BR,8,2,CO
1,D031700431,AU,EYQ4483,M,44,SI,X,BR,7,4,AT
1,D031700432,MO,DUV0293,M,52,SI,X,BR,2,2,QM
1,D031700433,ON,,X,si,SI,X,BR,8,2,QD
1,D031700434,AU,CMH5284,X,SI,SI,X,BR,8,2,CO
2,D031700434,SI,,X,SI,SI,X,BR,8,2,CO
1,D031700435,CM,EMF3560,M,31,IN,X,BR,3,4,AT
1,D031700436,MO,FAY6175,M,25,SI,X,BR,5,2,SI
2,D031700436,AU,DYD1615,F,33,SI,X,BR,6,2,SI
1,D031700437,AU,EDC0286,M,29,SI,X,BR,5,2,CF
2,D031700437,AU,GII0111,M,25,SI,X,BR,3,2,CF
1,D031700438,MO,FPQ0883,M,37,SI,X,BR,7,2,CO
2,D031700438,SI,,X,SI,SI,X,BR,8,2,CO
2,D031700439,AU,DCX8386,X,SI,SI,X,BR,8,2,CO
1,D031700439,MO,EWE7657,M,32,SI,X,BR,5,2,CO
1,D031700440,MO,ECP1689,X,SI,SI,X,BR,8,2,QM
1,D031700441,AU,EJE0375,M,SI,SI,X,BR,8,4,AT
1,D031700442,MO,ECR5130,M,20,SI,X,BR,5,2,CO
2,D031700442,SI,,X,SI,SI,X,BR,7,2,CO
1,D031700443,MO,DWZ3630,M,SI,SI,X,BR,8,2,CO
2,D031700443,ON,,X,SI,SI,X,BR,8,2,CO
3,D031700443,AU,GDO7556,M,46,SI,X,BR,8,2,CO
1,D031700444,AU,ELN5421,M,78,SI,X,BR,8,2,CV
