X,Y,id_acidente,cadloga,logradouro_a,cadlogb,logradouro_b,alt_num,referencia,data,dia__semana,dia_semana,mes_acidente,hora,cod_acid,fonte,viatura,dp,talao,sentido,pista,automovel,moto,onibus,caminhao,bicicleta,moto_taxi,onibus_fretado,onibus_urbano,microonibus,van,vuc,caminhonete,carreta,jipe,outros,sem_informacao,carroca,feridos,mortos,dec,det_atz,get_atz,distrito,distrito_atz,pref_reg,folha,princ_a,princ_b,placa1,tipo_placa1,placa2,tipo_plac2,placa3,tipo_plac3,tipo_acidente,mi_prinx,LAT,LONG,MAPINFO_ID
-46.647475,-23.565545,D121701873,12165,AV BRIG  LUIS ANTONIO,,,2020,,2017/12/22 00:00:00,6,SEXTA-FEIRA,DEZEMBRO,1899/12/30 16:57:00,4,D,,78,11569,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SO1,SO1,SO,7,7,SE,,12165,,,,,,,,AT,,-23.565545,-46.647475,12960
-46.554127,-23.588894,D121701874,3648,RUA   ORLANDO CALISTO,15032,AV  DO ORATORIO,0,,2017/12/01 00:00:00,6,SEXTA-FEIRA,DEZEMBRO,1899/12/30 21:56:00,2,D,,42,7604,,,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SE1,SE1,SE,72,72,VILA PRUDENTE,,3648,15032,,,,,,,CV,,-23.588894,-46.554127,12961
-46.655069,-23.610477,D121701877,35829,AV   MOREIRA GUIMARAES,,,367,,2017/12/03 00:00:00,1,DOMINGO,DEZEMBRO,1899/12/30 13:36:00,2,D,,16,5049,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SU2,SU2,SU,32,32,VILA MARIANA,,35829,,,,,,,,CT,,-23.610477,-46.655069,12962
-46.578412,-23.541369,D121701880,34122,RUA   MELO FREIRE,,,100,,2017/12/05 00:00:00,3,TERCA-FEIRA,DEZEMBRO,1899/12/30 17:10:00,2,D,,30,4292,,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,LE1,LE1,LE,80,80,MOOCA,,34122,,,,,,,,QD,,-23.541369,-46.578412,12963
-46.529269,-23.504543,D121701881,13918,RUA   MIGUEL GARCIA,,,157,,2017/12/09 00:00:00,7,SABADO,DEZEMBRO,1899/12/30 11:14:00,2,D,,10,10036,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,LE3,LE3,LE,18,18,PENHA,,13918,,,,,,,,CO,,-23.504543,-46.529269,12964
-46.661633,-23.494283,D121701886,20066,RUA   ZILDA,30803,RUA   ANTONIO VERA CRUZ,0,,2017/12/23 00:00:00,7,SABADO,DEZEMBRO,1899/12/30 10:56:00,2,D,,13,11041,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,CN1,CN1,CN,21,21,CASA VERDE-CACHOEIRINHA,,20066,30803,,,,,,,CL,,-23.494283,-46.661633,12965
-46.668264,-23.468269,D121701892,16051,AV GAL  PENHA BRASIL,,,378,,2017/12/09 00:00:00,7,SABADO,DEZEMBRO,1899/12/30 07:30:00,2,D,,72,9372,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CN1,CN1,CN,13,13,CASA VERDE-CACHOEIRINHA,,16051,,,,,,,,CL,,-23.468269,-46.668264,12966
-46.693324,-23.661809,D121701895,14743,AV NSRA DO SABARA,,,3556,,2017/12/04 00:00:00,2,SEGUNDA-FEIRA,DEZEMBRO,1899/12/30 18:16:00,4,D,,99,14196,B,,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SU3,SU3,SU,16,16,SANTO AMARO,,14743,,,,,,,,AT,,-23.661809,-46.693324,12967
-46.767634,-23.597518,D121701896,66004,RUA   ARTUR FERREIRA DE ABREU,,,70,,2017/12/01 00:00:00,6,SEXTA-FEIRA,DEZEMBRO,1899/12/30 16:09:00,4,D,,75,3007,B,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,OE2,OE2,OE,65,65,BUTANTA,,66004,,,,,,,,AT,,-23.597518,-46.767634,12968
-46.726456,-23.828331,D121701898,36031,ES  DA COLONIA,,,148,,2017/12/06 00:00:00,4,QUARTA-FEIRA,DEZEMBRO,1899/12/30 18:31:00,2,D,,53,900183,,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,SU4,SU4,SU,55,55,PARELHEIROS,,36031,,,,,,,,CP,,-23.828331,-46.726456,12969
