id_vitima	id_acidente	id_veiculo	sexo	idade	tipo_vitima	classificacao	tipo_veiculo	estado_alcoolizacao	escolaridade	data
1	D011700155	1	M	33	CD	F	MO	BR	5	NULL
1	D011700156	1	M	81	PD	F	ON	BR	3	NULL
1	D011700157	1	M	28	PD	F	AU	BR	3	NULL
1	D011700158	2	M	20	CD	F	MO	BR	8	NULL
2	D011700158	2	F	40	PS	F	MO	BR	3	NULL
1	D011700159	1	M	36	CD	F	CA	BR	3	NULL
1	D011700160	1	M	28	CD	F	MO	BR	5	NULL
1	D011700161	1	M	38	CD	F	MO	BR	8	NULL
1	D011700162	1	M	21	CD	F	MO	BR	3	NULL
2	D011700162	1	F	18	PS	F	MO	BR	8	NULL
1	D011700163	1	M	42	PD	F	AU	BR	8	NULL
2	D011700163	1	F	21	PD	F	AU	BR	5	NULL
3	D011700163	1	F	27	PD	F	AU	BR	5	NULL
4	D011700163	1	M	20	CD	F	AU	BR	8	NULL
1	D011700164	1	M	25	CD	F	MO	BR	5	NULL
1	D011700165	2	M	27	CD	F	MO	BR	5	NULL
1	D011700166	1	F	20	PS	F	AU	BR	7	NULL
1	D011700167	1	M	38	CD	F	AU	BR	8	NULL
2	D011700167	1	F	37	PS	F	AU	BR	8	NULL
3	D011700167	1	M	3	PS	F	AU	BR	8	NULL
4	D011700167	1	F	7	PS	F	AU	BR	8	NULL
1	D011700168	1	M	20	CD	F	MO	BR	5	NULL
1	D011700169	1	M	30	CD	F	MO	BR	8	NULL
1	D011700170	1	F	47	PD	F	MO	BR	3	NULL
1	D011700171	1	F	29	PD	F	MO	BR	8	NULL
1	D011700172	1	M	34	CD	F	AU	BR	5	NULL
1	D011700173	1	F	18	PS	F	MO	BR	3	NULL
1	D011700174	1	M	42	CD	F	MO	BR	8	NULL
1	D011700175	1	M		CD	F	MO	BR	8	NULL
1	D011700176	1	M	24	CD	F	MO	BR	3	NULL
1	D011700177	1	M	37	CD	F	MO	BR	7	NULL
1	D011700178	1	F		PD	F	MO	BR	8	NULL
1	D011700179	1	M	34	PD	F	SI	BR	3	NULL
1	D011700180	1	F	37	PD	F	CM	BR	5	NULL
1	D011700181	1	M	16	PS	F	AU	BR	8	NULL
2	D011700181	2	F	64	PS	F	ON	BR	8	NULL
3	D011700181	2	F	38	PS	F	ON	BR	3	NULL
4	D011700181	2	F	27	PS	F	ON	BR	5	NULL
5	D011700181	2	M	35	PS	F	ON	BR	3	NULL
6	D011700181	2	M	60	PS	F	ON	BR	3	NULL
7	D011700181	1	M		CD	F	AU	BR	3	NULL
1	D011700182	2	M	22	CD	F	MO	BR	3	NULL
1	D011700183	1	M	45	CD	F	MO	BR	3	NULL
1	D011700184	1	M	35	CD	F	MO	BR	6	NULL
1	D011700185	1	M	44	CD	F	AU	BR	3	NULL
1	D011700186	1	M	53	CD	F	MO	BR	5	NULL
1	D011700187	1	M	19	CD	F	MO	BR	5	NULL
1	D011700188	1	F	74	PD	F	CM	BR	5	NULL
2	D011700188	1	M	85	PD	F	CM	BR	3	NULL
1	D011700189	1	M	23	PD	F	AU	BR	5	NULL
1	D011700190	1	M		PD	F	AU	BR	8	NULL
1	D011700191	1	M	19	PD	F	MO	BR	8	NULL
1	D011700192	1	M	31	CD	F	MO	BR	5	NULL
2	D011700192	1	F	30	PS	F	MO	BR	5	NULL
1	D011700193	1	M	26	CD	F	MO	BR	5	NULL
1	D011700194	1	M	59	CD	F	MO	BR	3	NULL
1	D011700195	1	M	28	CD	F	MO	BR	5	NULL
1	D011700196	1	F	19	CD	F	AU	BR	3	NULL
2	D011700196	1	F	19	PS	F	AU	BR	5	NULL
3	D011700196	1	F	28	PS	F	AU	BR	8	NULL
