X,Y,ID_ACIDENT,CADLOGA,CADLOGB,ALT_NUM,REFERENCIA,DATA,HORA,COD_ACID,FONTE,VIATURA,DP,TALAO,SENTIDO,PISTA,VEICULOS,VITIMAS,DEC,DISTRITO,FOLHA,PRINC_A,PRINC_B,PLACA1,TIPO_PLAC1,PLACA2,TIPO_PLAC2,PLACA3,TIPO_PLAC3,TIPO_ACIDE,MI_PRINX
334255.852569142,7384033.1581145,D031700459,13915,,3687,,2017/03/21 00:00:00.000,0900,2,D,,83,535,,,10000000000000000,0100,SU1,27,,13915,,FTL1047,AU,CPT7246,AU,,,CH,345582
339552.259718247,7394836.76471298,D031700460,05153,06741,,,2017/03/23 00:00:00.000,1545,2,D,,30,728,,,20000000000000000,0100,SE1,80,,05153,06741,FDJ5751,CM,,,,,CO,345583
329814.505195111,7378293.4965472,D031700461,00852,,400,,2017/03/16 00:00:00.000,1150,2,D,,98,2130,,,10000000000100000,0100,SU3,58,,00852,,DKZ1530,AU,EXS8797,CM,,,CO,345584
318443.148804111,7381241.72485938,D031700462,44487,,321,,2017/03/10 00:00:00.000,2245,2,D,,47,2490,,,01000000000000000,0100,SO3,19,,44487,,EQD4941,MO,,,,,CH,345585
0,0,D031700463,98750,,,NC,2017/03/07 00:00:00.000,2107,2,D,,49,3147,,,01010000000000000,0001,SI,SI,,98750,,,,,,,,CO,345586
322080.580699901,7389593.56264637,D031700464,18470,,3871,,2017/03/12 00:00:00.000,2030,4,D,,51,2210,,,10000000000000000,0001,OE3,94,,18470,,DAV9849,,,,,,AT,345587
349446.836213405,7395698.50760911,D031700465,22555,,808,,2017/03/28 00:00:00.000,2045,2,D,,68,1091,,,01000000000000010,0100,LE3,5,,22555,,FIF4761,MO,,,,,CL,345588
337613.849486654,7406400.34201863,D031700466,16305,,1565,,2017/03/02 00:00:00.000,1133,4,D,,73,2208,,,10000000000000000,0100,CN2,81,,16305,,EJI3846,AU,,,,,AT,345589
335805.010695878,7399629.03723454,D031700467,04896,08989,,,2017/03/03 00:00:00.000,1955,2,D,,09,2203,,,20000000000000000,0500,CN2,86,,04896,08989,EQI1893,AU,,,,,CO,345590
325092.762573258,7378251.16259943,D031700468,02483,,3500,,2017/03/27 00:00:00.000,1100,2,D,,102,2802,,,11000000000000000,0100,SU4,79,,02483,,GBY5665,AU,,,,,CT,345591
357455.958703641,7398886.94015846,D031700469,16652,,1089,,2017/03/04 00:00:00.000,1436,2,D,,50,2208,,,11000000000000000,0100,LE2,36,,16652,,GEF9288,MO,CGU3606,AU,,,CO,345592
345818.136160376,7398159.60842519,D031700470,48038,,320,,2017/03/12 00:00:00.000,0923,2,D,,24,2106,,,01000000000000000,0200,LE1,64,,48038,,DJK2126,MO,,,,,SI,345593
322990.413945072,7387873.01072887,D031700471,73463,,66,,2017/03/31 00:00:00.000,0800,2,D,,89,2321,,,11000000000000000,0100,OE3,94,,73463,,FIM5013,MO,EZB1860,AU,,,CO,345594
322455.973690842,7387557.71947126,D031700472,09710,,1129,,2017/03/03 00:00:00.000,0410,4,D,,89,900028,,,10000000000000000,0100,OE3,94,,09710,,ALB0733,AU,,,,,AT,345595
340628.698970444,7392176.81963529,D031700473,17824,,2892,,2017/03/09 00:00:00.000,1836,4,D,,29,1531,,,01000000000000000,0200,SE2,1,,17824,,BYZ1890,MO,,,,,AT,345596
329277.442283603,7371955.74325761,D031700474,03509,,4315,,2017/03/26 00:00:00.000,0528,2,D,,101,900107,,,01000000000000000,0001,SU4,30,,03509,,,,,,,,SI,345597
329083.109712052,7398425.5275525,D031700475,20071,,1,,2017/03/22 00:00:00.000,1600,2,D,,23,1225,,,11000000000000000,0100,NO2,6,,20071,,FIF2698,MO,PYT8988,AU,,,CO,345598
338066.013871066,7387961.05768009,D031700476,05762,,1540,,2017/03/22 00:00:00.000,2220,4,D,,95,1799,,,10000000000000000,0100,SE2,68,,05762,,,AU,,,,,AT,345599
323014.14622192,7395117.81230902,D031700477,35637,,10,,2017/03/09 00:00:00.000,1515,2,D,,93,1166,,,11000000000000000,0100,PB,88,,35637,,FIV9735,MO,BRF9664,AU,,,CO,345600
348166.145219799,7400194.90927794,D031700478,07068,71862,,,2017/03/08 00:00:00.000,1930,2,D,,62,2021,,,11000000000000000,0100,LE2,28,,07068,71862,FRF1429,MO,FMY8566,AU,,,CO,345601
355436.923461077,7391776.50668227,D031700479,26991,,346,,2017/03/18 00:00:00.000,1707,2,D,,53,1956,,,11000000000000000,0100,LE3,47,,26991,,DIO2287,AU,,,,,CF,345602
340083.727608411,7401422.2676266,D031700480,39012,,953,,2017/03/25 00:00:00.000,0049,2,D,,90,3044,,,20000000000000000,0400,CN2,92,,39012,,EVJ1972,AU,DNA2634,AU,,,CO,345603
326776.644395017,7387970.1752116,D031700481,06238,,12000,,2017/03/03 00:00:00.000,0830,2,D,,96,742,,,11000000000000000,0100,PB,35,,13014,,EJP6259,MO,FYS4793,AU,,,CT,345604
336276.09454162,7394738.01439342,D031700482,00543,,2000,,2017/03/31 00:00:00.000,1138,2,D,,08,2146,,,12000000000000000,0100,SE1,53,,00543,,DZI7283,MO,EEI7971,MO,DGY0735,AU,CO,345605
345317.32852029,7389259.61258182,D031700483,76109,,100,,2017/03/09 00:00:00.000,1100,2,D,,70,909,,,01010000000000000,0001,SE2,76,,76109,,IQV9787,MO,EPH3425,CA,,,QM,345606
339120.361589576,7396398.57393089,D031700484,04736,,3749,,2017/03/28 00:00:00.000,0740,2,D,,52,692,,,20100000000000000,0200,LE1,80,,04736,,FZO9375,AU,FAD9558,AU,DTE5547,ON,CO,345607
331054.003904441,7399377.26576935,D031700485,19379,15639,,,2017/03/17 00:00:00.000,1930,2,D,,13,2551,,,11000000000000000,0100,CN1,21,,04577,19379,DZP7224,MO,DMB6682,AU,,,CO,345608
340868.348453095,7387983.9155061,D031700486,16826,,995,,2017/03/22 00:00:00.000,0927,2,D,,42,720,,,02000000000000000,0200,SE2,93,,16826,,EFI0520,MO,DWV1355,MO,,,SI,345609
337007.849419787,7405732.46605694,D031700487,11250,,437,,2017/03/27 00:00:00.000,1827,2,D,,73,3133,,,21000000000000000,0100,CN2,81,,11250,,DUW4366,MO,DKS8322,AU,EBI1435,AU,CO,345610
324530.241044962,7397398.94931195,D031700488,15567,,83,,2017/03/08 00:00:00.000,0840,2,D,,91,1326,,,01000000000000010,0100,NO1,48,,15567,,FVI5134,MO,,,,,CO,345611
345140.888575959,7394083.7593147,D031700489,02181,,3874,,2017/03/31 00:00:00.000,2032,2,D,,21,2580,,,01010000000000000,0100,SE1,4,,02181,,EXE4600,MO,NJB6946,CA,,,CO,345612
325363.495220169,7392017.3626069,D031700490,00855,16913,,,2017/03/14 00:00:00.000,1200,2,D,,51,792,B,,01000000000100000,0100,OE2,12,,00855,16913,EXC1513,MO,DTB5470,CM,,,CO,345613
321541.981674293,7388462.22205234,D031700491,09218,,81,,2017/03/27 00:00:00.000,0630,2,D,,34,789,,,00100000000000000,0100,OE3,94,,09218,,,,,,,,QD,345614
335473.317164199,7396595.7249574,D031700492,17180,10177,,,2017/03/02 00:00:00.000,2233,2,D,,12,1439,,,20000000000000000,0100,LE1,56,,10177,17180,FNB4025,AU,BLA7325,AU,,,CO,345615
342029.155627578,7396431.90251664,D031700493,07645,02181,,,2017/03/22 00:00:00.000,2311,2,D,,30,2316,,,00101000000000000,0100,LE1,91,,02181,07645,FJW0840,ON,,,,,CO,345616
337316.824912865,7405844.31130514,D031700494,11250,,627,,2017/03/19 00:00:00.000,1330,2,D,,73,2854,,,01100000000000000,0100,CN2,81,,11250,,MSV6763,MO,GCG4273,ON,,,CO,345617
333325.18062547,7393979.04951698,D031700495,33306,,1,,2017/03/21 00:00:00.000,0326,4,D,,01,1895,,,01000000000000000,0200,CN3,78,,33667,,ESD9515,MO,,,,,AT,345618
324077.711774095,7405939.41004692,D031700496,05350,16838,,,2017/03/15 00:00:00.000,1947,2,D,,74,2028,,,11000000000000000,0100,NO2,42,,05350,16838,AOS6087,AU,,,,,CH,345619
341143.691176406,7396352.66319172,D031700497,13805,,3059,,2017/03/22 00:00:00.000,1345,2,D,,52,649,,,12000000000000000,0200,LE1,80,,13805,,DWW9243,MO,BPS7108,MO,EBZ8101,AU,CO,345620
322124.906351009,7389675.28945977,D031700498,16337,,3954,,2017/03/01 00:00:00.000,2015,2,D,,34,684,,,00001000000000000,0100,OE2,94,,16337,,,,,,,,QB,345621
345193.377415685,7392770.85982369,D031700499,11341,,46,,2017/03/30 00:00:00.000,1915,4,D,,41,3025,,,00100000000000000,0100,SE1,4,,11341,,DJM9855,ON,,,,,AT,345622
332950.137336934,7393785.38407423,D031700500,11818,19056,,,2017/03/29 00:00:00.000,2230,2,D,,01,1666,,,01000000000100000,0200,SU2,49,,11818,19056,DJZ4203,MO,BPZ0844,CM,,,CL,345623
325376.999166347,7401282.55065295,D031700501,05947,,13,,2017/03/03 00:00:00.000,1930,2,D,,28,1018,,,00100000000000000,0100,NO2,29,,05947,,,,,,,,QF,345624
356188.080606064,7394608.59695023,D031700502,05457,,305,,2017/03/30 00:00:00.000,1821,2,D,,44,2280,,,10000000100000000,0100,LE3,31,,05457,,DMJ3913,AU,EZL9529,ON,,,CO,345625
330291.379761273,7393980.38580525,D031700503,15656,05245,,,2017/03/23 00:00:00.000,1820,2,D,,78,2783,,,01000000000100000,0100,OE1,26,,05245,15656,FBG4591,MO,FDI4746,CM,,,CO,345626
317797.875146327,7381421.29157469,D031700504,18547,,47,,2017/03/12 00:00:00.000,1940,4,D,,47,2565,,,01000000000000000,0001,OE3,19,,18547,,DUV5176,MO,,,,,AT,345627
335643.896459281,7387331.81476672,D031700505,12177,,2,,2017/03/23 00:00:00.000,2350,2,D,,26,1816,,,11000000000000000,0100,SU1,27,,12177,,EII8084,MO,DWM8452,CM,,,CO,345628
321364.796446207,7389362.74953569,D031700506,06234,,428,,2017/03/31 00:00:00.000,0630,2,D,,34,958,,,11000000000000000,0100,OE2,94,,06234,,EJO6410,MO,FIA1417,AU,,,CO,345629
337232.685815564,7401625.38044744,D031700507,11127,,71,,2017/03/22 00:00:00.000,1135,2,D,,39,1111,,,00010000000000000,0100,CN2,92,,11127,,EVU7941,CA,,,,,CH,345630
355666.923866506,7399902.53478962,D031700508,19412,,282,,2017/03/28 00:00:00.000,1610,2,D,,59,867,,,01000000000100000,0200,LE2,84,,19412,,NBV9273,MO,EQM9680,CM,,,CO,345631
347852.872290034,7394436.14575319,D031700509,09580,,3699,,2017/03/08 00:00:00.000,0230,2,D,,66,1058,,,01000000000000000,0100,LE3,5,,09580,,EXE9783,MO,,,,,QM,345632
335766.698508201,7387138.38451487,D031700510,43154,14710,,,2017/03/17 00:00:00.000,2250,2,D,,95,1676,,,20000000000000000,0200,SU1,68,,14710,43154,FRK8472,AU,EVH1980,AU,,,CO,345633
338629.526874367,7402903.11985162,D031700511,11321,,3300,,2017/03/27 00:00:00.000,0625,2,D,,39,1180,,,11000000000000000,0100,CN2,92,,11321,,FTX2047,MO,PZD4701,AU,,,CO,345634
328904.65802297,7395970.7819332,D031700512,03880,03999,,,2017/03/10 00:00:00.000,1345,2,D,,23,1219,,,20000000000000000,0100,NO1,60,,03880,03999,DJM8582,AU,FIK5997,AU,,,SI,345635
359412.400248061,7399628.40632043,D031700513,45755,,76,,2017/03/02 00:00:00.000,2017,4,D,,50,2068,,,10000000000000000,0100,LE2,36,,45755,,EQW3228,AU,,,,,AT,345636
323144.29947051,7410782.33762081,D031700514,16838,,17986,,2017/03/22 00:00:00.000,1056,2,D,,46,1014,,,20010000000100000,0400,NO2,61,,16838,,HQV0603,AU,EEO5647,AU,DIU8571,CA,CL,345637
325671.592108374,7392018.16068164,D031700515,67054,,231,,2017/03/14 00:00:00.000,1810,2,D,,51,816,,,00110000000000000,0100,OE2,12,,67054,,EWU9265,ON,DQM1672,CA,,,CO,345638
326253.590634296,7371562.71528766,D031700516,60027,,400,,2017/03/18 00:00:00.000,1815,2,D,,85,1030,B,,20000000000000000,0300,SU4,30,,60027,,DSC4622,AU,BGG9030,AU,,,CL,345639
339584.150401875,7391009.05556584,D031700517,24338,,2018,,2017/03/25 00:00:00.000,1810,2,D,,56,1901,,,10010000000000000,0100,SE2,93,,24338,,HLP5928,AU,,,,,CO,345640
326420.14344718,7392213.14054892,D031700518,06238,,8000,,2017/03/25 00:00:00.000,0600,2,D,,14,2618,,,20000000000000000,0200,PB,62,,13014,,FRZ5977,AU,DUB6475,AU,,,CT,345641
336165.280538245,7394111.80534388,D031700519,14213,,2228,,2017/03/10 00:00:00.000,0100,2,D,,18,1535,,,20000000000000000,0200,SE1,53,,14213,,EQN0199,AU,CFY5786,AU,,,CT,345642
335893.853073528,7392578.73182907,D031700520,18847,06642,,,2017/03/02 00:00:00.000,2200,2,D,,17,1371,B,,11000000000000000,0100,SE2,34,,06642,18847,EHP3137,MO,JHH8337,AU,,,CO,345643
331904.06615131,7389390.3171396,D031700521,02692,,359,,2017/03/30 00:00:00.000,1345,4,D,,16,3123,,,10000000000000000,0100,SU2,90,,02692,,FXJ2349,AU,,,,,AT,345644
325900.096630084,7382780.25496512,D031700522,18539,,240,,2017/03/25 00:00:00.000,0117,4,D,,11,3286,,,01000000000000000,0100,SO2,71,,18539,,,,,,,,AT,345645
355566.094778146,7399832.88285227,D031700523,19412,,293,,2017/03/22 00:00:00.000,1239,2,D,,59,800,C,,11000000000000000,0100,LE2,84,,19412,,ESC0737,MO,CLV9426,AU,,,CO,345646
332623.867140939,7393844.89444147,D031700524,12165,,711,,2017/03/21 00:00:00.000,0730,4,D,,05,1129,B,,00100000000000000,0100,SO1,7,,12165,,ECT8968,ON,,,,,AT,345647
338189.178394401,7398286.45338546,D031700525,00967,,1181,,2017/03/09 00:00:00.000,2018,2,D,,19,2434,B,,00101000000000000,0001,CN2,89,,00967,,EZT9261,ON,,,,,CO,345648
320718.305888847,7380359.91962598,D031700526,12403,,2965,,2017/03/12 00:00:00.000,0530,2,D,,92,2545,,,10000000000000000,0900,SO3,43,,12403,,EFS0384,AU,,,,,CH,345649
343719.331946732,7391009.90707191,D031700527,02878,,350,,2017/03/03 00:00:00.000,1320,2,D,,69,1028,,,11000000000000000,0100,SE2,76,,02878,,KZT0832,MO,DMT6474,AU,,,SI,345650
336637.747323154,7392927.29043274,D031700528,10541,17853,,,2017/03/10 00:00:00.000,2040,2,D,,18,942,,,11000000000000000,0100,SE2,53,,03811,17853,FQE4566,MO,AUJ2504,,,,CO,345651
332700.565407145,7389749.55811941,D031700529,17991,,373,,2017/03/24 00:00:00.000,0710,2,D,,16,2987,,,11000000000000000,0100,SU2,90,,17991,,BFG9131,MO,ELR8497,AU,,,CO,345652
329144.225821609,7402781.20374735,D031700530,03771,,3853,,2017/03/22 00:00:00.000,0700,2,D,,28,1362,C,,00100000000000000,0100,NO2,29,,03771,,,,,,,,QF,345653
324833.507680072,7390811.2923987,D031700531,07500,,1783,,2017/03/02 00:00:00.000,0620,2,D,,34,570,,,11100000000000000,0001,OE3,12,,07500,,FSN2309,MO,FSE0527,AU,FRS7924,ON,CO,345654
333505.65357376,7383942.20174407,D031700532,41437,,1,,2017/03/08 00:00:00.000,1718,2,D,,103,933,C,,01000000000000010,0100,SU1,38,,41437,,FAB5728,MO,,,,,CO,345655
333912.572307071,7395839.72374487,D031700533,15511,06642,,,2017/03/01 00:00:00.000,0450,2,D,,01,1382,,,00020000000000000,0100,CN3,10,,06642,15629,BWA0174,CA,CVP7513,CA,,,CO,345656
347053.421691453,7397970.22146142,D031700534,48038,,1548,,2017/03/27 00:00:00.000,1700,2,D,,24,2597,,,20000000000000000,0100,LE1,59,,48038,,EGN1850,AU,DSP6439,AU,,,CT,345657
324644.342601375,7405176.64538002,D031700535,64647,,220,,2017/03/13 00:00:00.000,0217,2,D,,74,1944,,,11000000000000000,0200,NO2,63,,64647,,CMY1602,AU,,,,,CT,345658
338096.985079769,7404617.40996652,D031700536,08253,,500,,2017/03/28 00:00:00.000,1920,2,D,,73,3203,C,,11000000000000000,0100,CN2,39,,08253,,EXC7225,MO,,,,,CO,345659
356703.905090476,7392695.4015259,D031700537,44789,,275,,2017/03/19 00:00:00.000,1300,2,D,,54,2835,,,11000000000000000,0001,LE3,25,,44789,,DZM0175,MO,EXX2399,AU,,,CO,345660
321209.510202347,7396755.93915889,D031700538,29773,,183,,2017/03/14 00:00:00.000,2340,2,D,,93,1417,,,10000000000000000,0100,OE2,41,,29773,,CRR7897,AU,,,,,CH,345661
333818.599682388,7399110.60400236,D031700539,15937,,145,,2017/03/13 00:00:00.000,2300,2,D,,13,2408,,,20000000000000000,0100,CN1,70,,15937,,GAX2615,AU,EUS3448,AU,,,CO,345662
321645.415793208,7383570.53653274,D031700540,09529,,1661,,2017/03/04 00:00:00.000,1000,2,D,,37,1205,,,01000000100000000,0100,SO3,46,,09529,,DZS6991,MO,,,,,QM,345663
328397.739926351,7372179.60706491,D031700541,03509,,3353,,2017/03/31 00:00:00.000,0916,2,D,,101,1160,,,02000000000000000,0100,SU4,30,,03509,,EXL9906,MO,DXL6583,MO,,,CV,345664
355020.723800041,7400753.51710485,D031700542,08190,09812,,,2017/03/28 00:00:00.000,2240,2,D,,22,2625,,,11000000000000000,0200,LE2,84,,08190,09812,NIP1378,MO,NXX9603,AU,,,CO,345665
337222.469535915,7397917.13948446,D031700543,09626,,21,,2017/03/16 00:00:00.000,2008,4,D,,19,2653,,,10000000000000000,0100,CN2,89,,09626,,KWE2356,AU,,,,,AT,345666
327275.107104447,7398490.50054699,D031700544,06544,,10,,2017/03/21 00:00:00.000,2015,4,D,,07,1545,B,,00100000000000000,0001,NO2,48,,06544,,EFV3544,ON,,,,,AT,345667
355693.302518903,7394654.66664812,D031700545,21711,,332,,2017/03/03 00:00:00.000,2132,2,D,,44,1390,,,10010000000000000,0100,LE3,31,,21711,,BFC3168,AU,DPC5101,CA,,,CL,345668
